sighting_id,observer_id,location_id,species_id,date,recognition_type,comments
1,492,1,AMRO,2016-05-11 19:01:00,visual,
2,492,1,EABL,2016-05-11 19:53:00,visual,using bluebird house
3,213,2,DOWO,2016-05-16 16:27:00,visual,
4,492,3,AMGO,2016-05-17 06:55:00,visual,
5,213,2,CLSW,2016-06-03 21:43:00,visual,
6,213,2,GHOW,2016-06-03 22:24:00,auditory,territorial hooting
7,492,1,EABL,2016-06-06 18:28:00,visual,
8,213,1,AMRO,2016-06-17 14:43:00,auditory,
9,213,1,GBHE,2016-06-17 15:07:00,visual,
10,213,1,PUFI,2016-06-17 15:45:00,visual,
11,213,1,EABL,2016-06-17 16:00:00,visual,
12,492,3,AMGO,2016-06-18 07:42:00,visual,using thistle feeder
